key,en,zh
TUTORIAL_UPGRADE_9,"The shop restocks at 00:00 daily with random goods, or when you manually refresh.",商店会在每天 00:00上架随机商品，或者手动刷新时也会更新。
TUTORIAL_UPGRADE_10,Manual refresh refills to 3 uses daily at 00:00.,手动刷新次数会在每日00:00重置为 3 次。
TUTORIAL_UPGRADE_11,"Please visit the shop again and buy the [font_size=40][color=#94b757]Balance[/color][/font_size].\nIf it isn’t available, try the manual refresh you just unlocked.",请再次拜访商店，买下 [font_size=40][color=#94b757]天平[/color][/font_size] 吧。\n如果目前没有上架的话，试试刚解锁的手动刷新吧。
TUTORIAL_POINTS_1,The [font_size=40][color=#94b757]天平[/color][/font_size] provides 5 Shop Pts.,买到的 [font_size=40][color=#94b757]天平[/color][/font_size] 可以提供 3 点商店点数。
TUTORIAL_POINTS_2,"Raising different types of points increases adventure success rate.\nBut only when LUCK, MOVEMENT, QUEST, and SHOP Pts all work together\nthe effect will be significant.",提升各类点数可以增加冒险成功率。\n不过需要幸运、移动、任务、商店四项点数共同作用，效果才会显著哦。
TUTORIAL_POINTS_3,"LUCK, MOVEMENT, and QUEST items are sold at their respective shops.\nThey’re not available yet, so let’s give you some for demonstration.",幸运、移动、任务物资在对应的商店出售。\n目前没有地方能买到呢，先发放一些物资以作说明吧。
TUTORIAL_POINTS_4,"Success rate increased!\nThe more items you prepare, the less likely you are to fail.\nIf you fail... you’ll return empty-handed.",冒险成功率提升了！\n物资准备越充分，就越能够避免冒险失败的情况。\n如果失败的话...就一无所获了呢。
TUTORIAL_POINTS_5,"You have 60 days in total.\nThe more time you spend stocking up in the city, the less time you’ll have to venture out.\nAdventure scores also decrease as days pass. Keep that in mind.",此外，一共有 60 天的时间。\n花费更多时间在城里囤积物资的话，可用于出城冒险的时间则会相应减少。\n能够获得的冒险得分也会随天数降低。请注意。
TUTORIAL_POINTS_6,"The goal is to achieve a higher adventure score.\nSo, improve your efficiency in stocking up.\nRaise your Success Rate while saving more days for the adventure itself!",游戏的目标是获取更高的冒险得分。\n因此，提高在城里准备物资的效率。\n在提高冒险成功率的同时，努力留出更多天数用来冒险吧。
,,
TUTORIAL_GATE,"When you're ready, head to the city gate to end the tutorial and start the game!",准备妥当的话，就前往城门结束教程，正式开始游戏吧。
